specobjid,ra,dec,z
844570927797659648,0.077612743,15.724361,0.1755843
8032283570150764544,0.0785400230000164,29.181811,0.176229
3156008837715093504,0.079715,29.181943,1.864737E-07
4815720834302406656,0.0807300000000168,3.8328166,0.0005789034
4971004317189992448,0.082049751999989,5.9700763,0.04773828
6988493811794767872,0.0823547530000042,17.887406,0.1703295
844573401698822144,0.082638038,15.895122,0.1149656
845638553856665600,0.082889403,14.372101,0.09449982
6954778662605090816,0.0829078209999921,13.854907,8.528895E-05
844448332251162624,0.083586271,13.833791,0.07862206
844452180541859840,0.084311158,14.186091,0.09149819
3155966506517424128,0.086625,27.309495,1.714217E-05
435858808804239360,0.087275369,0.21508407,0.08521979
7330983717437632512,0.0889914850000082,29.167423,0.1754401
7333020013022605312,0.0892809709999938,23.241328,3.240421E-06
6911900731503734784,0.0893486169999846,15.367142,0.0003308524
6879506371630002176,0.089961422999977,21.213209,0.1776243
8032284394784485376,0.0903141960000085,29.222071,0.1218879
4971006516213248000,0.090518153000005,5.5846303,0.1698987
1676612620905375744,0.0913,0.857998,7.472477E-05
1676604374568167424,0.091812,0.642522,0.06229435
6949229702314389504,0.0926340159999768,16.659075,0.0983509
6879276848577703936,0.0931684569999902,20.570131,0.07249574
844447782495348736,0.093608281,14.050763,0.104595
4837037066112659456,0.0943473689999905,3.2675202,0.09225342
844568453896497152,0.095178676,16.147897,0.03720628
6988490513259884544,0.0955442630000221,17.431331,0.1705824
4970979578178367488,0.095776705999981,5.3517625,0.1707703
6879501423827677184,0.0969598400000109,21.94254,0.1729439
6879281521502121984,0.0971731650000152,21.106527,0.1487381
4815509178314059776,0.0981199999999944,2.6013197,0.0001350074
7745224448307556352,0.0986936919999835,23.026224,0.03196879
7333035681063301120,0.102528740000025,23.864307,0.1155737
6988706017538928640,0.103138890000025,18.495353,0.08759886
4815726056982638592,0.105709999999988,4.7961148,1.820143E-05
1732900193738713088,0.107116,0.56765002,0.06177697
7745234343912206336,0.108563419999996,22.961344,0.1437382
6898659314346160128,0.108881020000013,19.997919,0.1003063
6879500874071863296,0.109576160000017,21.901434,0.1710929
435859908315867136,0.10964022,0.59744965,0.1039097
1228500883076048896,0.110634,0.468313,2.934612E-05
844569278530217984,0.11104145,15.912568,0.11667
844561856826730496,0.11447117,14.962485,0.09068749
844560757315102720,0.11522184,14.9402,0.1586011
844469222972090368,0.11696377,14.381222,0.09260321
844465099803486208,0.11748144,14.419394,0.1433229
7333025785458651136,0.118107819999977,24.123026,6.399414E-05
3156025605267417088,0.118453,28.416556,1.821697E-05
771380561368344576,0.11926065,0.86869459,0.08576115
6946931172769984512,0.119788229999983,18.873543,0.16956
5106042212631375872,0.120170330000008,6.3255696,0.09564027
1676603549934446592,0.120248,0.375572,0.130336
844572027309287424,0.12120045,15.714767,0.1154616
1228383785087690752,0.1244,0.012202,3.185974E-05
4836966697368481792,0.125341999999989,1.203278,2.11255E-05
6946924575700217856,0.125580249999985,18.301664,8.850831E-05
5106156836718571520,0.125903400000027,7.4864083,0.0003850017
3153717454862051328,0.126482,24.448248,6.42762E-06
6988707117050556416,0.128649789999997,17.949176,0.141014
845646525315966976,0.12893339,15.585927,0.09511256
1732903217395689472,0.12899781,1.2250386,0.004153254
6949226403779506176,0.131485680000026,17.189416,0.02758595
771381111124158464,0.13252062,0.95694283,0.004036746
844570378041845760,0.13274474,16.112407,0.09742952
1732803436715468800,0.132762,0.00017,0.07955237
4970974080620228608,0.132788819999973,4.5502002,0.1073352
5104965790798114816,0.134353719999979,8.3764215,0.03640217
845638004100851712,0.13498674,14.581838,0.09104354
6912170661608353792,0.13535195999998,16.214126,0.001501812
6954785259674857472,0.135655540000016,13.1442,0.1704815
4836968346635923456,0.135925100000009,1.2596745,0.01452018
3179610680848312320,0.1361391,27.697835,0.1006963
3179649988389005312,0.13620071,29.251199,0.102455
4970999919143481344,0.136701039999991,6.4324989,0.09653708
1228503356977211392,0.136725,0.082586,4.077638E-07
7745177444185468928,0.136800269999981,21.6654,0.05522729
7745228296598253568,0.138125829999979,23.882778,0.1160789
6960399914493472768,0.139235229999997,10.686004,0.1669014
1732905691296851968,0.13950001,1.145753,0.0828949
844557733658126336,0.14075013,15.183925,0.04219447
1732908440075921408,0.14093401,0.80807602,0.08125152
844464275169765376,0.14250386,14.619223,0.0942137
7745180467842445312,0.144637950000003,21.955024,0.1715424
6988704918027300864,0.144813429999999,18.032644,0.1717484
435847263932147712,0.14486481,0.85745772,0.1048486
6988491063015698432,0.14568847999999,17.568315,0.09873645
6960493647859740672,0.147315670000012,11.551832,0.101289
844567079506962432,0.1474081,15.231795,0.1239448
4970998544753946624,0.149325149999981,6.6588951,0.1284877
3155950288720914432,0.149591,27.82602,0.0001223225
6960511240045785088,0.150237090000019,10.712985,0.1664383
6954856453052755968,0.150547749999987,15.549733,7.333152E-05
5106153538183688192,0.151954849999981,7.9178339,0.0003914436
6953695093828808704,0.152007609999998,12.178022,6.298927E-05
844571477553473536,0.1522885,15.76602,0.1491352
1732802886959654912,0.15343399,0.043067001,0.06132794
6954856178174849024,0.154431970000019,15.12573,9.079305E-05
4971006791091154944,0.154511109999987,5.5523518,0.1700322
6954859201831825408,0.154786370000011,15.073613,0.1662893
3155949738965100544,0.155369,27.53582,2.579182E-05
3156028079168579584,0.156238,28.215894,6.278542E-05
7742933066159157248,0.158682030000023,26.099533,0.1357843
844467573704648704,0.15891143,14.623578,0.1471015
6954785534552764416,0.158972960000028,13.305457,0.0748039
6954786634064392192,0.159926509999991,13.465835,0.09472333
845637454345037824,0.16119571,14.59672,0.1463385
845647624827594752,0.16139364,15.407582,0.1517108
4836963398833598464,0.164062290000004,1.9190028,0.1168796
5106046610677886976,0.164620490000004,6.955322,0.1343151
844570652919752704,0.16679803,15.947728,0.1139806
844466199315113984,0.16684594,14.552149,0.09227177
1732898544471271424,0.167008,0.76783103,0.08157613
435869529042610176,0.16790308,0.94280013,0.1039984
4747006304882192384,0.168485999999973,0.232306,2.986287E-05
435770847874017280,0.16853039,0.027444865,0.1058151
844567354384869376,0.16948001,15.322025,0.1534267
8032290716976345088,0.169627090000006,29.854688,0.002424069
844564880483706880,0.17060926,15.387654,0.118134
5106047160433700864,0.170907829999976,7.0139325,0.1319181
1732901018372433920,0.172114,0.30657601,0.07886012
1732901568128247808,0.173747,0.398471,0.05428735
771283254589286400,0.17566465,0.026669553,0.07865121
844468398338369536,0.17568425,14.506423,0.09406425
7330990039629492224,0.176663640000015,28.369025,0.02911761
1228503082099304448,0.177355,0.332985,0.0001402726
771380836246251520,0.17735845,0.96978695,0.1034565
1732899369104992256,0.17802399,0.68716699,0.09626406
844464824925579264,0.18143513,14.524866,0.09423462
5106024895323238400,0.18269626,6.3517544,0.00019856
435860183193774080,0.18397994,0.67299349,0.06254611
1228504456488839168,0.18463205,0.10575225,1.398019E-05
